"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","SHELL_TEXT","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI","bin"
"1","SNOW",1980,"EBS","ALL",128721,"new_hardshell","female",1278375449.32964,0.231662727289774,580457808.460311,47771.2068443144,0.250103109912006,23417.5456961849,105317483.281994,0.250103109912006,51626850.9899873,"Small (40-50mm)"
"2","SNOW",1981,"EBS","ALL",119097,"new_hardshell","female",493806573.83591,0.259513894157508,251173347.195999,19161.7218314909,0.263896451056073,9911.1523594101,42244365.4232789,0.263896451056073,21850350.7001456,"Small (40-50mm)"
"3","SNOW",1982,"EBS","ALL",132330,"new_hardshell","female",388943565.95016,0.262189036079193,199874407.745526,16291.0154475946,0.261928156447334,8363.46825997326,35915541.1886553,0.261928156447334,18438291.3230515,"Small (40-50mm)"
"4","SNOW",1983,"EBS","ALL",131528,"new_hardshell","female",139261984.398058,0.361003311240062,98537113.4952191,5556.30326888089,0.365208945163582,3977.25484544043,12249551.8804272,0.365208945163582,8768346.00511572,"Small (40-50mm)"
"5","SNOW",1984,"EBS","ALL",132330,"new_hardshell","female",425057295.02669,0.308180153871764,256748676.267857,14677.6349873284,0.293891767304668,8454.7267291064,32358646.1283036,0.293891767304668,18639481.8085377,"Small (40-50mm)"
"6","SNOW",1985,"EBS","ALL",131528,"new_hardshell","female",128558331.29363,0.257684770573642,64929947.2452692,4012.76539115858,0.247706802705012,1948.21899869647,8846633.35752015,0.247706802705012,4295087.67684185,"Small (40-50mm)"
"7","SNOW",1986,"EBS","ALL",131528,"new_hardshell","female",495466745.276427,0.368944261033011,358287239.916787,15446.5363722687,0.360309209278979,10908.4374405266,34053783.5155139,0.360309209278979,24048987.9504074,"Small (40-50mm)"
"8","SNOW",1987,"EBS","ALL",135137,"new_hardshell","female",2270926108.96246,0.229205588038907,1020197550.22739,75472.7773741225,0.217357365121138,32152.9454956904,166388992.332749,0.217357365121138,70885110.9988705,"Small (40-50mm)"
"9","SNOW",1988,"EBS","ALL",140350,"new_hardshell","female",1137386372.6941,0.187096294631365,417089520.75474,41644.1565768715,0.181827102472284,14841.1911975383,91809649.6571845,0.181827102472284,32719225.8492763,"Small (40-50mm)"
"10","SNOW",1989,"EBS","ALL",140350,"new_hardshell","female",480076012.380773,0.185172224566679,174237616.62035,16887.1056257533,0.181510515217049,6007.76699560423,37229695.0800859,0.181510515217049,13244859.0253057,"Small (40-50mm)"
