"","x","y"
"1",3.9125,2.24313300075655
"2",3.9375,2.28923419220714
"3",3.9625,2.30093765280952
"4",3.9875,2.31837147772191
"5",4.0125,2.35999401714063
"6",4.0375,2.37378281574937
"7",4.0625,2.4020512261149
"8",4.0875,2.43547769767185
"9",4.1125,2.45675113608018
"10",4.1375,2.46610400976426
"11",4.1625,2.50808552119684
"12",4.1875,2.53771254501752
"13",4.2125,2.5650404094387
"14",4.2375,2.59960433316334
"15",4.2625,2.61851344789365
"16",4.2875,2.65161660964019
"17",4.3125,2.6733608377838
"18",4.3375,2.70682043248446
"19",4.3625,2.76475621212249
"20",4.3875,2.78567259852187
"21",4.4125,2.80836403960141
"22",4.4375,2.84452129767287
"23",4.4625,2.86854326505019
"24",4.4875,2.90204886808466
"25",4.5125,2.91248214101485
"26",4.5375,2.96914912536516
"27",4.5625,2.9327515576566
"28",4.5875,3.01799530959453
